級別,日文名稱,日文拼音,類別,中文意思,詞性
N1,危ぶむ,あやぶむ,單字,感到危險,動詞
N1,案じる,あんじる,單字,擔心,動詞
N1,歪む,ゆ/いがむ,單字,歪,動詞
N1,営む,いとなむ,單字,經營、從事,動詞
N1,挑む,いどむ,單字,挑戰,動詞
N1,承る,うけたまわる,單字,承接,動詞
N1,俯く,うつむく,單字,向下看,動詞
N1,頷く,うなずく,單字,點頭,動詞
N1,唸る,うなる,單字,呻吟、讚嘆,動詞
N1,煽てる,おだてる,單字,慫恿,動詞
N1,劣る,おとる,單字,比不上、不如,動詞
N1,衰える,おとろえる,單字,衰退,動詞
N1,怯える,おびえる,單字,害怕、恐懼,動詞
N1,省みる,かえりみる,單字,反省,動詞
N1,顧みる.,かえりみる.,單字,回顧、在意,動詞
N1,掻き回す,かきまわす,單字,攪拌,動詞
N1,,かさむ,單字,增加、變多,動詞
N1,,かぶれる,單字,發炎、紅腫,動詞
N1,着飾る,きかざる,單字,打扮,動詞
N1,築く,きずく,單字,蓋、築起,動詞
N1,鍛える,きたえる,單字,鍛鍊,動詞
N1,興じる,きょうじる,單字,享受、享樂,動詞
N1,食い違う,くいちがう,單字,不一致,動詞
N1,朽ちる,くちる,單字,腐朽,動詞
N1,覆す,くつがえす,單字,顛覆,動詞
N1,蹴飛ばす,けとばす,單字,踢飛,動詞
N1,貶す,けなす,單字,貶低,動詞
N1,凝らす,こらす,單字,凝聚、集中,動詞
N1,,さえずる,單字,鳥鳴,動詞
N1,栄える,さかえる,單字,繁榮,動詞
N1,差し支える,さしつかえる,單字,有關係、受影響,動詞
N1,授ける,さずける,單字,授予,動詞
N1,定まる,さだまる,單字,訂定,動詞
N1,,さらう,單字,綁架,動詞
N1,強いる,しいる,單字,強迫,動詞
N1,,しくじる,單字,失敗,動詞
N1,親しむ,したしむ,單字,親近,動詞
N1,躾ける,しつける,單字,訓練、教育,動詞
N1,準ずる,じゅんずる,單字,以...為準,動詞
N1,掬う,すくう,單字,撈,動詞
N1,沿う,そう,單字,沿著,動詞
N1,即する,そくする,單字,就、符合,動詞
N1,備わる,そなわる,單字,具備,動詞
N1,聳える,そびえる,單字,聳立,動詞
N1,染まる,そまる,單字,(自)染上（顏色）,動詞
N1,染める,そめる,單字,(他)染上（顏色）,動詞
N1,背く,そむく,單字,違背、背叛,動詞
N1,携わる,たずさわる,單字,從事,動詞
N1,漂う,ただよう,單字,漂、飄,動詞
N1,立ち去る,たちさる,單字,離開,動詞
N1,脱する,だっする,單字,脫離,動詞
N1,立て替える,たてかえる,單字,代墊,動詞
N1,辿る,たどる,單字,跟著、追尋,動詞
N1,賜る,たまわる,單字,受賜,動詞
N1,保つ,たもつ,單字,保持,動詞
N1,弛む,たるむ,單字,鬆弛,動詞
N1,費やす,ついやす,單字,花費,動詞
N1,仕える,つかえる,單字,服侍、侍奉,動詞
N1,司る,つかさどる,單字,掌管、掌控,動詞
N1,謹む,つつしむ,單字,恭謹,動詞
N1,突っ突く,つっつく,單字,戳、捅,動詞
N1,突っ張る,つっぱる,單字,撐著、緊繃,動詞
N1,,つねる,單字,捏、掐,動詞
N1,募る,つのる,單字,招募,動詞
N1,呟く,つぶやく,單字,自言自語、碎碎念,動詞
N1,瞑る,つむる,單字,閉眼,動詞
N1,貫く,つらぬく,單字,貫徹,動詞
N1,出くわす,でくわす,單字,遭遇,動詞
N1,凌ぐ,しのぐ,單字,撐過、凌駕,動詞
N1,尊ぶ,とうとぶ,單字,尊敬,動詞
N1,咎める,とがめる,單字,責備、責難,動詞
N1,説く,とく,單字,勸說、說服,動詞
N1,研ぐ,とぐ,單字,研磨、磨利,動詞
N1,滞る,とどこおる,單字,停滯,動詞
N1,整える,ととのえる,單字,整理,動詞
N1,,とぼける,單字,裝蒜,動詞
N1,富む,とむ,單字,富含,動詞
N1,取り扱う,とりあつかう,單字,處理、經辦,動詞
N1,取り調べる,とりしらべる,單字,催債、提升,動詞
N1,取り次ぐ,とりつぐ,單字,轉達,動詞
N1,詰る,なじる,單字,責備,動詞
N1,似通う,にかよう,單字,彼此相似,動詞
N1,担う,になう,單字,擔任、擔當,動詞
N1,鈍る,にぶる,單字,變鈍,動詞
N1,捩れる,ねじれる,單字,扭曲,動詞
N1,妬む,ねたむ,單字,嫉妒,動詞
N1,,ねだる,單字,吵著要,動詞
N1,臨む,のぞむ,單字,面臨、出席,動詞
N1,廃れる,すたれる,單字,衰退、過時,動詞
N1,捗る,はかどる,單字,有進展,動詞
N1,諮る,はかる,單字,商量、諮商,動詞
N1,図る,はかる,單字,試圖、謀求,動詞
N1,励ます,はげます,單字,鼓勵,動詞
N1,,ばてる,單字,疲倦,動詞
N1,阻む,はばむ,單字,阻止、阻擋,動詞
N1,生やす,はやす,單字,留、長(毛髮),動詞
N1,率いる,ひきいる,單字,率領,動詞
N1,引きずる,ひきずる,單字,拖,動詞
N1,伴う,ともなう,單字,伴隨、帶著,動詞
N1,浸す,ひたす,單字,浸泡,動詞
N1,耽る,ふける,單字,沉溺於、專心於,動詞
N1,老ける,ふける,單字,老化,動詞
N1,,へりくだる,單字,謙卑,動詞
N1,綻びる,ほころびる,單字,綻開、(衣物)開口,動詞
N1,,ぼやける,單字,糊掉,動詞
N1,賄う,まかなう,單字,靠...負擔,動詞
N1,纏まる,まとまる,單字,整理好,動詞
N1,免れる,まぬがれる,單字,免於,動詞
N1,見せびらかす,みせびらかす,單字,炫耀,動詞
N1,満たす,みたす,單字,弄滿、充滿,動詞
N1,満たない,みたない,單字,未滿、未達(數量)標準,動詞
N1,乱す,みだす,單字,弄亂,動詞
N1,導く,みちびく,單字,引導,動詞
N1,見計らう,みはからう,單字,見機、看準,動詞
N1,,みなす,單字,當作是,動詞
N1,群がる,むらがる,單字,聚集,動詞
N1,設ける,もうける,單字,設立,動詞
N1,催す,もよおす,單字,舉辦,動詞
N1,割り込む,わりこむ,單字,插隊、插進,動詞
N1,遮る,さえぎる,單字,遮擋、遮蔽,動詞
N1,狭める,せばめる,單字,縮小、縮短,動詞
N1,隔てる,へだてる,單字,分隔、隔斷,動詞
N1,,あくどい,單字,太過火,形容詞
N1,浅ましい,あさましい,單字,卑鄙、下流,形容詞
N1,,あべこべな,單字,顛倒、反過來,形容詞
N1,,あやふやな,單字,模糊不清、顛三倒四,形容詞
N1,粋な,いき,單字,通情達理的,形容詞
N1,著しい,いちじるしい,單字,顯著的,形容詞
N1,卑しい,いやしい,單字,卑賤、沒品的,形容詞
N1,陰気な,いんきな,單字,陰鬱的,形容詞
N1,鬱陶しい,うっとうしい,單字,覺得鬱悶、煩躁,形容詞
N1,円満,えんまん,單字,圓滿的,形容詞
N1,大柄な,おおがらな,單字,大個子、大花紋,形容詞
N1,大袈裟な,おおげさな,單字,小題大作,形容詞
N1,大まかな,おおまかな,單字,大致上的,形容詞
N1,厳かな,おごそかな,單字,莊嚴、肅穆的,形容詞
N1,乙な,おつな,單字,不錯、別緻的,形容詞
N1,,おっかない,單字,可怕、兇,形容詞
N1,頑固な,がんこな,單字,頑固的,形容詞
N1,簡素な,かんそな,單字,簡單、樸素,形容詞
N1,気障な,きざな,單字,裝模作樣、假仙,形容詞
N1,几帳面な,きちょうめんな,單字,一板一眼,形容詞
N1,生真面目な,きまじめな,單字,太過認真,形容詞
N1,決まり悪い,きまりわるい,單字,尷尬的,形容詞
N1,華奢な,きゃしゃな,單字,苗條、纖細的,形容詞
N1,窮屈な,きゅうくつな,單字,擁擠的,形容詞
N1,強硬な,きょうこうな,單字,強硬的,形容詞
N1,清らかな,きよらかな,單字,清澈的、清白的,形容詞
N1,勤勉な,きんべんな,單字,勤勉的,形容詞
N1,,くすぐったい,單字,被搔得癢,形容詞
N1,汚らわしい,けがらわしい,單字,骯髒、汙穢的,形容詞
N1,煙たい,けむたい,單字,很燻、不易親近,形容詞
N1,倹約な,けんやくな,單字,勤儉的,形容詞
N1,小柄な,こがらな,單字,個子嬌小,形容詞
N1,心強い,こころづよい,單字,令人安心、放心,形容詞
N1,心細い,こころぼそい,單字,令人不安、不可靠,形容詞
N1,早急な,さっきゅうな,單字,儘快的,形容詞
N1,柔軟な,じゅうなんな,單字,柔軟的(思考),形容詞
N1,,すばしっこい,單字,動作敏捷的,形容詞
N1,速やかな,すみやかな,單字,迅速的,形容詞
N1,盛大な,せいだいな,單字,盛大的,形容詞
N1,相応な,そうおうな,單字,相符,形容詞
N1,,そっけない,單字,冷淡、無情的,形容詞
N1,素朴な,そぼくな,單字,樸素的,形容詞
N1,逞しい,たくましい,單字,強壯、堅強的,形容詞
N1,巧みな,たくみな,單字,巧妙的,形容詞
N1,達者な,たっしゃな,單字,精通的,形容詞
N1,多忙な,たぼうな,單字,忙碌的,形容詞
N1,容易い,たやすい,單字,容易的,形容詞
N1,著名な,ちょめいな,單字,著名的,形容詞
N1,手近な,てぢかな,單字,手邊的、眼前的,形容詞
N1,乏しい,とぼしい,單字,缺乏、不足的,形容詞
N1,和やかな,なごやかな,單字,平靜、和諧、和睦的,形容詞
N1,情け深い,なさけぶかい,單字,有人情味的、熱心的,形容詞
N1,名高い,なだかい,單字,出名的,形容詞
N1,何気ない,なにげない,單字,不經意的,形容詞
N1,生温い,なまぬるい,單字,不夠、不明確、半調子的,形容詞
N1,滑らかな,なめらかな,單字,滑順、流暢的,形容詞
N1,馴れ馴れしい,なれなれしい,單字,裝熟,形容詞
N1,儚い,はかない,單字,短暫、無常、虛幻的,形容詞
N1,薄弱な,はくじゃくな,單字,薄弱的,形容詞
N1,悲惨な,ひさんな,單字,悲慘的,形容詞
N1,平たい,ひらたい,單字,扁平的、易懂的,形容詞
N1,貧困な,ひんこんな,單字,貧困的,形容詞
N1,貧乏な,びんぼうな,單字,貧窮的,形容詞
N1,不可欠な,ふかけつな,單字,不可或缺的,形容詞
N1,,ぶかぶかな,單字,寬鬆的,形容詞
N1,寄与,きよ,單字,貢獻,名詞
N1,人出,ひとで,單字,外出(活動)的人群,名詞
N1,当面,とうめん,單字,當前,副詞
N1,仕業,しわざ,單字,勾當、不好的事,名詞
N1,発散,はっさん,單字,發散(情緒、能量),名詞
N1,無造作,むぞうさ,單字,不刻意(妝容)、不經心,副詞
N1,億劫,おっくう,單字,怕麻煩、懶得動,形容詞
N1,広大,こうだい,單字,廣大(專指面積、土地),形容詞
N1,総じて,そうじて,單字,整體而言(描述群體共通),副詞
N1,先方,せんぽう,單字,對方,名詞
N1,頻りに,しきりに,單字,再三、屢次,副詞
N1,,スケール,單字,規模,名詞
N1,解れる,ほぐれる,單字,心情舒坦、解放,動詞
N1,解ける,ほどける,單字,(自)解開、鬆開(繩帶),動詞
N1,偽る,いつわる,單字,偽裝、說謊,動詞
N1,躊躇う,ためらう,單字,躊躇猶豫,動詞
N1,,まみれ,單字,沾滿...,名詞
N1,,ぐるみ,單字,包括...的,名詞
N1,,ずくめ,單字,盡是...(積極),名詞
N1,,がらみ,單字,與...一起的,名詞
N1,重宝,ちょうほう,單字,珍貴、方便有用,形容詞
N1,踏襲,とうしゅう,單字,承襲,名詞
N1,連携,れんけい,單字,聯合、合作,名詞
N1,画期的な,かっきてきな,單字,劃時代的,形容詞
N1,目論む,もくろむ,單字,計劃、籌劃,動詞
N1,手掛かり,てがかり,單字,線索,名詞
N1,俄かに,にわかに,單字,突然、忽然,副詞
N1,肝心,かんじん,單字,最重要的,形容詞
N1,鈍る,にぶる,單字,變鈍、遲鈍,動詞
N1,漠然,ばくぜん,單字,含混、籠統,形容詞
N1,合併,がっぺい,單字,合併,名詞
N1,呆気ない,あっけない,單字,沒意思、不盡興,形容詞
N1,疾っくに,とっくに,單字,很早之前就...,副詞
N1,,まちまち,單字,雜亂不一的,形容詞
N1,,ゆとり,單字,寬裕、充足不緊迫的,名詞
N1,配布,はいふ,單字,廣泛發出物品,名詞
N1,質素,しっそ,單字,簡樸的,形容詞
N1,見失う,みうしなう,單字,迷失、跟丟,動詞
N1,最も,いとも,單字,十分、非常,副詞
N1,侮る,あなどる,單字,輕視,動詞
N1,罵る,ののしる,單字,罵,動詞
N1,掲げる,かかげる,單字,實現（目標）,動詞
N1,請け負う,うけおう,單字,承擔,動詞
N1,掠れる,かすれる,單字,掠過,動詞
N1,在り來たり,ありきたり,單字,老套,形容詞
N1,,デマ,單字,謠言,名詞
N1,煩わしい,わずらわしい,單字,麻煩的、煩瑣的,形容詞
N1,些細な,ささいな,單字,小小的、瑣碎的,形容詞
N1,,しなやか,單字,柔美、優美,形容詞
N1,,ぐだぐだ,單字,隨隨便便,副詞
N1,,つくづく,單字,深切地（感受）,副詞
N1,端的に,たんてきに,單字,直率地、開門見山地,副詞
N1,枯渇,こかつ,單字,乾涸,名詞
N1,克明,こくめい,單字,認真、細緻,形容詞
N1,緊迫,きんぱく,單字,緊迫,名詞
N1,清々しい,すがすがしい,單字,神清氣爽的,形容詞
N1,密かな,ひそかな,單字,悄悄地(準備),形容詞
N1,,こっそり,單字,悄悄地、偷偷地,副詞
N1,,もどかしい,單字,令人著急,形容詞
N1,拗れる,こじれる,單字,惡化,動詞
N1,溺れる,おぼれる,單字,沈迷、迷戀,動詞
N1,凭れる,もたれる,單字,憑靠、依靠,動詞
N1,,くつろい,單字,愜意地,副詞
N1,有耶無耶,うやむや,單字,含糊,形容詞
N1,需要,じゅよう,單字,需求,名詞
N1,緩和,かんわ,單字,緩和、減緩,名詞
N1,巧妙,こうみょう,單字,巧妙,形容詞
N1,集い,つどい,單字,集會,名詞
N1,憩い,いこい,單字,休息,名詞
N1,跡地,あとち,單字,舊址,名詞
N1,概ね,おおむね,單字,大致,副詞
N1,合致,がっち,單字,吻合,名詞
N1,加味,かみ,單字,採納、摻入(追加考慮),名詞
N1,気配,けはい,單字,感覺到跡象,名詞
N1,優位,ゆうい,單字,優勢地位,名詞
N1,庇う,かばう,單字,庇護(他人遠離危險),動詞
N1,仰天,ぎょうてん,單字,大吃一驚,名詞
N1,,からっと,單字,晴朗、乾爽,副詞
N1,直向きに,ひたむきに,單字,一個勁地(熱衷),副詞
N1,無性に,むしょうに,單字,很、非常,副詞
N1,一途に,いちずに,單字,專心、一味地,副詞
N1,予め,あらかじめ,單字,預先、事先,副詞
N1,荷が重い,にがおもい,單字,負擔、責任重大,形容詞
N1,望ましい,のぞましい,單字,最好的狀況下,形容詞
N1,秘める,ひめる,單字,刻意隱藏,動詞
N1,,しんなり,單字,柔軟地,副詞
N1,,やんわり,單字,委婉地,副詞
N1,,ひんなり,單字,陰涼、冰冷,形容詞
N1,,どっさり,單字,大量的,副詞
N1,,どんより,單字,昏暗的,形容詞
N1,,ぐったり,單字,精疲力盡的,形容詞
N1,嫌味,いやみ,單字,挖苦,名詞
N1,潔い,いさぎよい,單字,乾脆、痛快地,形容詞
N1,賑わう,にぎわう,單字,熱鬧、繁盛,動詞
N1,紛らわしい,まぎらわしい,單字,容易混淆的,形容詞
N1,,もっともらしい,單字,看似真實的,形容詞
N1,,やつれる,單字,憔悴,動詞
N1,冴える,さえる,單字,清澈、鮮明,動詞
N1,脆い,もろい,單字,脆弱、易壞,形容詞
N1,諭す,さとす,單字,說明,動詞
N1,,あやす,單字,逗、哄,動詞
N1,潜伏,せんぷく,單字,潛伏,名詞
N1,咄嗟に,とっさに,語彙,瞬間、反射性地,
N1,項垂れる,うなだれる,語彙,負面情緒而低著頭,
N1,棚上げ,たなあげ,語彙,暫時擱置,
N1,何ら,なんら,語彙,絲毫（接否定）,
N1,誇りに思う,ほこりにおもう,語彙,感到驕傲,
N2,縫う,ぬう,單字,縫,動詞
N2,解く,ほどく,單字,解消、解除,動詞
N2,驚かれる,おどろかれる,單字,他人被我嚇到,動詞
N2,驚かされる,おどろかされる,單字,我被他人嚇到,動詞
N2,陥る,おちいる,單字,陷入（情況）,動詞
N2,怠る,おこたる,單字,怠惰、疏忽,動詞
N2,,いっそ,單字,乾脆,副詞
N2,僅かに,わずかに,單字,少許,副詞
N2,遂げる,とげる,單字,達成（目標）,動詞
N2,躓く,つまずく,單字,踢到絆倒,動詞
N2,見合わせ,みあわせ,單字,暫時推遲,名詞
N2,揶揄う,からかう,單字,嘲笑,動詞
N2,,禮句に,單字,早就…,副詞
N2,,じきに,單字,不久,副詞
N2,,いまに,單字,馬上,副詞
N2,疎かな,おろそかな,單字,敷衍,形容詞
N2,いい加減,いいかげん,單字,敷衍,形容詞
N2,手応え,てごたえ,單字,把握,名詞
N2,相席,あいせき,單字,拼桌,名詞
N2,,バックアップ,單字,後盾、後援,名詞
N2,間柄,あいだがら,單字,人與人的關係,名詞
N2,見栄え,みばえ,單字,外觀氣派,名詞
N2,朗らかな,ほがらかな,單字,爽朗,形容詞
N2,慌らしい,あわただしい,單字,慌慌張張,形容詞
N2,,だらしない,單字,邋遢,形容詞
N2,,くだらない,單字,無聊、沒意義,形容詞
N2,,ぐずぐず,單字,磨磨蹭蹭,副詞
N2,,はきはき,單字,乾脆、簡潔,副詞
N2,精々,せいぜい,單字,盡量、頂多,副詞
N2,,しみじみ,單字,深切地,副詞
N2,近々,ちかぢか,單字,不久、就近,副詞
N2,,ぎっしり,單字,滿滿的,副詞
N2,,かろうじて,單字,勉強、好不容易,副詞
N2,閃いた,ひらめいた,單字,閃過好點子,動詞
N2,手厚く,てあつく,單字,周到地,副詞
N2,切り出す,きりだす,單字,開口,動詞
N2,襲われる,おそわれる,單字,被襲擊,動詞
N2,語り合う,かたりあう,單字,交談（生硬）,動詞
N2,堪える,こらえる,單字,忍住,動詞
N2,背骨,せぼね,單字,背骨,名詞
N2,実践,じっせん,單字,實踐,名詞
N2,決着,けっちゃく,單字,解決（紛爭、爭論）,名詞
N2,次第に,しだいに,單字,漸漸地,副詞
N2,仕草,しぐさ,單字,舉止,名詞
N2,定年,ていねん,單字,退休年齡,名詞
N2,善良,ぜんりょう,單字,善良,形容詞
N2,方言,ほうげん,單字,方言,名詞
N2,目がなく,めがなく,語彙,無法抵抗（喜歡）,
N2,,ろくな,語彙,像樣的事情,
N2,情けない,なさけない,語彙,令人遺憾的,
N2,張切る,はりきる,語彙,繃緊、幹勁十足,
N2,,ありふれる,語彙,平常、平凡,
N2,穏やかな,おだやかな,語彙,平穩的,
N2,相応しい,ふさわしい,語彙,適配的,
N2,末に,すえに,語彙,經過…最後還是,
N2,大凡,おおよそ,語彙,大概,
N2,威張ってる,いばってる,語彙,耍威風,
N2,着々,ちゃくちゃく,語彙,順利進行,
N2,,～といった,語彙,列舉事物,
N3,伝える,つたえる,單字,傳達、告訴,動詞
N3,枯れる,かれ,單字,枯萎,動詞
N3,詰める,つめる,單字,裝進、塞入,動詞
N3,積もる,つもる,單字,堆積,動詞
N3,,くっつける,單字,貼上、黏上,動詞
N3,解く,とく,單字,解決、解開,動詞
N3,雇う,やとう,單字,雇用,動詞
N3,務める,つとめる,單字,任職、服務,動詞
N3,触れる,ふれる,單字,接觸,動詞
N3,觸る,さわる,單字,觸摸,動詞
N3,散らかる,ちらかる,單字,凌亂,動詞
N3,散る,ちる,單字,凋零,動詞
N3,飛び出す,とびだす,單字,衝出去,動詞
N3,飛び込む,とびこむ,單字,飛入、跳入,動詞
N3,通り過ぎる,とおりすぎる,單字,越過、經過,動詞
N3,通りかかる,とおりかかる,單字,路過,動詞
N3,受け取る,うけとる,單字,領取、接收,動詞
N3,受け持つ,うけもつ,單字,擔任、負責,動詞
N3,受け入れる,うけいれる,單字,收納、接納,動詞
N3,受け付ける,うけつける,單字,接受、受理,動詞
N3,教わる,おそわる,單字,受教,動詞
N3,言い合う,いいあう,單字,爭論,動詞
N3,迎える,むかえる,單字,迎接,動詞
N3,見送る,みおくる,單字,見送、送行,動詞
N3,招く,まねく,單字,邀請,動詞
N3,道の角,みちのかど,單字,路口,名詞
N3,道の端,みちのはし,單字,路邊,名詞
N3,末っ子,すえっこ,單字,老么,名詞
N3,經濟,けいざい,單字,經濟,名詞
N3,再來週,さらいしゅう,單字,下下週,名詞
N3,,のろのろ,單字,緩慢移動,副詞
N3,,ぶらぶら,單字,閒晃,副詞
N3,,はっきり,單字,明瞭地（り）,副詞
N3,,うっかり,單字,粗心地,副詞
N3,,すっかり,單字,完全地,副詞
N3,,がっかり,單字,失望地,副詞
N3,,そっくり,單字,一模一樣,形容詞
N3,広々,ひろびろ,單字,寬廣,形容詞
N3,確かに,たしかに,單字,確實地,副詞
N3,確か,たしか,單字,應該喔、聽說是,副詞
N3,思い込み,おもいこみ,單字,堅信,名詞
N3,平等,びょうどう,單字,平等,形容詞
N3,絶えず,たえず,單字,不斷地、無休止地,副詞
N3,暮れ,くれ,單字,年末,名詞
N3,口を利く,くちをきく,語彙,說話,
N3,口にする,くちにする,語彙,吃、提到,
N3,耳にする,みみにする,語彙,聽到,
N3,頭に来る,あたまにくる,語彙,生氣,
N3,腹が立つ,はらがたつ,語彙,生氣,
